1,Time,The way in which mugging was done and property looted,Latitude,Longitute,,,,,,,,,,,
64,12:00-15:00,Snatching while on the move (Accused on bike) from front,12.985738,77.616911,,,,,,,,,,,
65,18:00-21:00,Accused was on foot,13.0513803576,77.6045979397,,,,,,,,,,,
66,09:00-12:00,Snatching while on the move (Accused on bike) from front,13.06319966,77.489998,,,,,,,,,,,
67,06:00-09:00,Attention diversion by indulging in small talk,13.063816918,77.42148894,,,,,,,,,,,
68,06:00-09:00,Attention diversion by indulging in small talk,13.063816918,77.42148894,,,,,,,,,,,
69,18:00-21:00,Attention diversion by indulging in small talk,13.05369037,77.60952078,,,,,,,,,,,
70,09:00-12:00,Snatching while on the move (Accused on bike) from front,13.0551492861,77.5719712204,,,,,,,,,,,
71,09:00-12:00,Snatching by walk & escaping with bike,13.06077855,77.5764539,,,,,,,,,,,
72,06:00-09:00,Snatching while on the move (Accused on bike) from front,13.098539,77.595148,,,,,,,,,,,
73,09:00-12:00,Snatching by walk & escaping with bike,13.104245,77.598517,,,,,,,,,,,
74,09:00-12:00,The co-accused was waiting at a distance,13.104245,77.598517,,,,,,,,,,,
75,06:00-09:00,Snatching while on the move (Accused on bike) from front,13.109532,77.612293,,,,,,,,,,,
76,06:00-09:00,Snatching by walk & escaping with bike,13.0575495837,77.5891825883,,,,,,,,,,,
77,09:00-12:00,Snatching by walk & escaping with bike,13.0666416886,77.5731961576,,,,,,,,,,,
78,15:00-18:00,Snatching while on the move (Accused on bike) from back,13.0610217371,77.5795119468,,,,,,,,,,,
79,18:00-21:00,Snatching while on the move (Accused on bike) from back,13.0489919572,77.5765383667,,,,,,,,,,,
80,09:00-12:00,Snatching by walk & escaping with bike,13.0710000277,77.5712698341,,,,,,,,,,,
81,06:00-09:00,Snatching by walk & escaping with bike,13.05797933,77.60225068,,,,,,,,,,,
82,18:00-21:00,Snatching while on the move (Accused on bike) from back,13.0990206114,77.5643385474,,,,,,,,,,,
83,06:00-09:00,Snatching while on the move (Accused on bike) from front,13.084912,77.584827,,,,,,,,,,,
84,06:00-09:00,Snatching while on the move (Accused on bike) from back,13.06304083,77.58012147,,,,,,,,,,,
85,18:00-21:00,Accused was on foot,13.04722226,77.57448317,,,,,,,,,,,
86,18:00-21:00,Snatching while on the move (Accused on bike) from front,13.0665333,77.58413664,,,,,,,,,,,
87,06:00-09:00,Attention diversion by indulging in small talk,13.086261,77.583947,,,,,,,,,,,
88,18:00-21:00,Snatching while on the move (Accused on bike) from front,13.143053,77.62911,,,,,,,,,,,
89,09:00-12:00,Attention diversion by indulging in small talk,13.0624513561,77.5877971762,,,,,,,,,,,
90,18:00-21:00,Snatching while on the move (Accused on bike) from front,13.088434,77.581995,,,,,,,,,,,
91,18:00-21:00,Attention diversion by indulging in small talk,13.086261,77.583947,,,,,,,,,,,
92,03:00-06:00,Attention diversion by indulging in small talk,12.564998,77.34412,,,,,,,,,,,
93,03:00-06:00,Attention diversion by indulging in small talk,12.564998,77.34412,,,,,,,,,,,
94,03:00-06:00,Attention diversion by indulging in small talk,12.564998,77.34412,,,,,,,,,,,
95,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.93967904,77.585165,,,,,,,,,,,
96,03:00-06:00,Snatching while on the move (Accused on bike) from front,12.93967904,77.58181537,,,,,,,,,,,
97,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.552947,77.34262,,,,,,,,,,,
98,18:00-21:00,Snatching by walk & escaping with bike,12.95892005,77.55786914,,,,,,,,,,,
99,18:00-21:00,Snatching by walk & escaping with bike,12.95892005,77.55786914,,,,,,,,,,,
100,09:00-12:00,Attention diversion by indulging in small talk,12.9095199998,77.5872525998,,,,,,,,,,,
101,Female,2 Wheeler,No,No,,,,,,,,,,,
102,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.9145644999,77.5794940001,,,,,,,,,,,
103,06:00-09:00,Snatching by walk & escaping with bike,12.9480298,77.6244614,,,,,,,,,,,
104,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.913928,77.592433,,,,,,,,,,,
105,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.932946,77.583869,,,,,,,,,,,
106,15:00-18:00,Snatching with assault,12.92986613,77.88877089,,,,,,,,,,,
107,21:00-00:00,Snatching while on the move (Accused on bike) from back,12.93504409,77.5564394,,,,,,,,,,,
108,21:00-00:00,Snatching while on the move (Accused on bike) from back,12.562723,77.333515,,,,,,,,,,,
109,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.922359,77.58884,,,,,,,,,,,
110,12:00-15:00,Snatching while on the move (Accused on bike) from front,12.9090365995,77.5957663998,,,,,,,,,,,
111,12:00-15:00,Snatching while on the move (Accused on bike) from front,12.9020358001,77.5813453998,,,,,,,,,,,
112,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.90985176,77.56540418,,,,,,,,,,,
113,06:00-09:00,Attention diversion by indulging in small talk,12.914869,77.567648,,,,,,,,,,,
