1,Time,The way in which mugging was done and property looted,Latitude,Longitute,,,,,,,,,,,
282,06:00-09:00,Snatching while on the move (Accused on bike) from back,13.0663363,77.5117782,,,,,,,,,,,
283,06:00-09:00,Snatching while on the move (Accused on bike) from back,13.0663363,77.5117782,,,,,,,,,,,
284,06:00-09:00,Snatching while on the move (Accused on bike) from back,13.0663363,77.5117782,,,,,,,,,,,
285,06:00-09:00,Snatching while on the move (Accused on bike) from front,13.1044161,77.5171539,,,,,,,,,,,
286,09:00-12:00,Accused was on foot,13.050666,77.304818,,,,,,,,,,,
287,09:00-12:00,Accused was on foot,13.0747598,77.5055569,,,,,,,,,,,
288,15:00-18:00,Snatching by walk & escaping with bike,13.081215,77.507453,,,,,,,,,,,
289,06:00-09:00,Accused was on foot,13.06996271,77.54038473,,,,,,,,,,,
290,12:00-15:00,Snatching with assault,13.06189206,77.53465365,,,,,,,,,,,
291,06:00-09:00,By other techniques ,13.1414362076,77.5594041325,,,,,,,,,,,
292,06:00-09:00,By other techniques ,13.1414362076,77.5594041325,,,,,,,,,,,
293,09:00-12:00,Snatching while on the move (Accused on bike) from front,13.07213,77.55713,,,,,,,,,,,
294,09:00-12:00,Snatching while on the move (Accused on bike) from front,13.07213,77.55713,,,,,,,,,,,
295,09:00-12:00,Snatching while on the move (Accused on bike) from front,13.07213,77.55713,,,,,,,,,,,
296,09:00-12:00,Snatching while on the move (Accused on bike) from front,13.07213,77.55713,,,,,,,,,,,
297,09:00-12:00,Snatching while on the move (Accused on bike) from front,13.07213,77.55713,,,,,,,,,,,
298,09:00-12:00,Snatching while on the move (Accused on bike) from front,13.07213,77.55713,,,,,,,,,,,
299,09:00-12:00,Snatching while on the move (Accused on bike) from back,13.0727,77.5559,,,,,,,,,,,
300,12:00-15:00,Snatching while on the move (Accused on bike) from back,13.07542,77.56102,,,,,,,,,,,
301,06:00-09:00,Attention diversion by indulging in small talk,13.0785,77.5589,,,,,,,,,,,
302,06:00-09:00,Snatching while on the move (Accused on bike) from back,13.0780689824,77.5535577699,,,,,,,,,,,
303,06:00-09:00,Snatching while on the move (Accused on bike) from back,13.05916938,77.56041279,,,,,,,,,,,
304,21:00-00:00,Snatching by walk & escaping with bike,13.0940519275,77.5402750361,,,,,,,,,,,
305,18:00-21:00,Snatching while on the move (Accused on bike) from front,13.0803897998,77.5608672,,,,,,,,,,,
306,21:00-00:00,Snatching by walk & escaping with bike,13.0836890001,77.5487879998,,,,,,,,,,,
307,15:00-18:00,Snatching by walk & escaping with bike,13.0850983205,77.5612136675,,,,,,,,,,,
308,03:00-06:00,Snatching while on the move (Accused on bike) from back,13.0850983205,77.5612136675,,,,,,,,,,,
309,15:00-18:00,Snatching with assault,13.04355924,77.57179675,,,,,,,,,,,
310,15:00-18:00,Snatching with assault,13.04355924,77.57179675,,,,,,,,,,,
311,06:00-09:00,Snatching by walk & escaping with bike,13.0331226197,77.5752256682,,,,,,,,,,,
312,06:00-09:00,Attention diversion by indulging in small talk,13.04130971,77.57831908,,,,,,,,,,,
313,13.04130971,04.01.2015,55,2 wheeler,,,,,,,,,,,
314,15:00-18:00,Snatching while on the move (Accused on bike) from back,13.03868232,77.57411267,,,,,,,,,,,
315,06:00-09:00,Attention diversion by indulging in small talk,13.03216111,77.57289806,,,,,,,,,,,
316,03:00-06:00,Snatching while on the move (Accused on bike) from front,13.0310666812,77.5785656497,,,,,,,,,,,
317,03:00-06:00,Snatching while on the move (Accused on bike) from front,13.0310666812,77.5785656497,,,,,,,,,,,
318,03:00-06:00,Snatching while on the move (Accused on bike) from back,13.0310666812,77.5785656497,,,,,,,,,,,
319,06:00-09:00,Snatching by walk & escaping with bike,12.9973531043,77.5459026675,,,,,,,,,,,
320,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.9968509226,77.5426461259,,,,,,,,,,,
321,06:00-09:00,Snatching while on the move (Accused on bike) from front,12.9961961303,77.5409905276,,,,,,,,,,,
322,15:00-18:00,Snatching by walk & escaping with bike,12.9944420148,77.5406383601,,,,,,,,,,,
323,06:00-09:00,Snatching while on the move (Accused on bike) from front,12.9943119005,77.52964654,,,,,,,,,,,
324,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.9937195597,77.5110567027,,,,,,,,,,,
325,12:00-15:00,Snatching by walk & escaping with bike,12.9933073498,77.5299019486,,,,,,,,,,,
326,09:00-12:00,Snatching with assault,12.9929349755,77.5493245071,,,,,,,,,,,
327,06:00-09:00,Snatching by walk & escaping with bike,12.9924390851,77.5366437485,,,,,,,,,,,
328,09:00-12:00,Snatching while on the move (Accused on bike) from front,12.9899101311,77.5355693389,,,,,,,,,,,
329,09:00-12:00,Accused was on foot,12.9896897294,77.5052334217,,,,,,,,,,,
330,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.9892218353,77.5338901717,,,,,,,,,,,
331,09:00-12:00,By other techniques ,12.9886228028,77.5376676407,,,,,,,,,,,
332,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.9883331769,77.5375458201,,,,,,,,,,,
333,15:00-18:00,Attention diversion by indulging in small talk,12.9868989783,77.5478525684,,,,,,,,,,,
334,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.9866451262,77.5459469038,,,,,,,,,,,
335,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.9865129101,77.5341549828,,,,,,,,,,,
336,18:00-21:00,Snatching by walk & escaping with bike,12.9854957465,77.5133704818,,,,,,,,,,,
337,18:00-21:00,Snatching while on the move (Accused on bike) from front,12.9848068518,77.5334513804,,,,,,,,,,,
338,06:00-09:00,Snatching while on the move (Accused on bike) from front,12.9839351412,77.5350427921,,,,,,,,,,,
339,18:00-21:00,Snatching while on the move (Accused on bike) from front,12.9834567817,77.5354659408,,,,,,,,,,,
340,18:00-21:00,Snatching with threat of assault,12.9833703311,77.5181465126,,,,,,,,,,,
341,15:00-18:00,Snatching by walk & escaping with bike,12.9831351,77.55235128,,,,,,,,,,,
342,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.982864956,77.5149526151,,,,,,,,,,,
343,06:00-09:00,Snatching by walk & escaping with bike,12.9828262796,77.5332176426,,,,,,,,,,,
344,09:00-12:00,Snatching by walk & escaping with bike,12.9819528821,77.5552820783,,,,,,,,,,,
345,18:00-21:00,By other techniques ,12.9811643916,77.5475474636,,,,,,,,,,,
346,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.9810096319,77.5479550784,,,,,,,,,,,
347,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.9807925343,77.5163557015,,,,,,,,,,,
348,18:00-21:00,Snatching while on the move (Accused on bike) from front,12.9806901156,77.5318398816,,,,,,,,,,,
349,18:00-21:00,Snatching while on the move (Accused on bike) from front,12.9801462076,77.5481301272,,,,,,,,,,,
350,18:00-21:00,Snatching by walk & escaping with bike,12.9791186171,77.5068566925,,,,,,,,,,,
351,09:00-12:00,Snatching by walk & escaping with bike,12.9790406829,77.5444114582,,,,,,,,,,,
352,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.9788530863,77.5387649636,,,,,,,,,,,
353,12:00-15:00,Snatching while on the move (Accused on bike) from front,12.9787651515,77.5065775659,,,,,,,,,,,
354,12:00-15:00,Snatching by walk & escaping with Car,12.978683626,77.5391182965,,,,,,,,,,,
355,21:00-00:00,Snatching while on the move (Accused on bike) from front,12.9786073031,77.5486370824,,,,,,,,,,,
356,21:00-00:00,Snatching while on the move (Accused on bike) from front,12.978514163,77.5486661742,,,,,,,,,,,
357,09:00-12:00,Snatching by walk & escaping with bike,12.9783339237,77.5070697645,,,,,,,,,,,
358,06:00-09:00,Snatching by walk & escaping with bike,12.9778607625,77.5110123958,,,,,,,,,,,
359,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.9776549966,77.535057344,,,,,,,,,,,
360,18:00-21:00,Accused was on foot,12.97753174,77.57091661,,,,,,,,,,,
361,18:00-21:00,Snatching by walk & escaping with bike,12.9774386162,77.51664977,,,,,,,,,,,
362,12:00-15:00,Snatching by walk & escaping with bike,12.9770418261,77.5087641597,,,,,,,,,,,
363,09:00-12:00,Snatching by walk & escaping with bike,12.9764759801,77.5319662271,,,,,,,,,,,
364,21:00-00:00,Snatching while on the move (Accused on bike) from back,12.9745172067,77.5095802923,,,,,,,,,,,
365,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.9744509145,77.5299465936,,,,,,,,,,,
366,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.9742734243,77.5343023828,,,,,,,,,,,
367,12:00-15:00,Accused was on foot,12.9740896611,77.5133891095,,,,,,,,,,,
368,12:00-15:00,Accused was on foot,12.9740896611,77.5133891095,,,,,,,,,,,
369,12:00-15:00,Accused was on foot,12.9740896611,77.5133891095,,,,,,,,,,,
370,15:00-18:00,Snatching by walk & escaping with bike,12.97387501,77.54748379,,,,,,,,,,,
371,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.9728340055,77.5333495513,,,,,,,,,,,
372,06:00-09:00,Snatching while on the move (Accused on bike) from front,12.972202128,77.528073475,,,,,,,,,,,
373,12:00-15:00,Snatching with threat of assault,12.9719311878,77.4949247513,,,,,,,,,,,
374,18:00-21:00,Snatching by walk & escaping with bike,12.9716756371,77.4943869275,,,,,,,,,,,
375,09:00-12:00,Snatching while on the move (Accused on bike) from front,12.9716038119,77.5305821007,,,,,,,,,,,
376,12:00-15:00,Snatching with threat of assault,12.9705004282,77.510463847,,,,,,,,,,,
377,06:00-09:00,Snatching while on the move (Accused on bike) from front,12.9703066489,77.5447490215,,,,,,,,,,,
378,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.9701599089,77.5671030986,,,,,,,,,,,
379,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.9701599089,77.5671030986,,,,,,,,,,,
380,12:00-15:00,Accused was on foot,12.9695777137,77.5654630578,,,,,,,,,,,
381,12:00-15:00,Snatching by walk & escaping with bike,12.9694915689,77.5296172893,,,,,,,,,,,
382,09:00-12:00,Snatching by walk & escaping with bike,12.9688684099,77.5302022597,,,,,,,,,,,
383,06:00-09:00,Accused was on foot,12.9687232978,77.5773041598,,,,,,,,,,,
384,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.9684844276,77.5190782596,,,,,,,,,,,
385,09:00-12:00,Snatching by walk & escaping with bike,12.9684191778,77.5069286093,,,,,,,,,,,
386,06:00-09:00,Snatching with assault,12.9679367461,77.5143273225,,,,,,,,,,,
387,18:00-21:00,Snatching by walk & escaping with bike,12.9677663876,77.505500738,,,,,,,,,,,
388,06:00-09:00,Snatching by walk & escaping with bike,12.9677408031,77.5032934771,,,,,,,,,,,
389,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.9660105796,77.5040665623,,,,,,,,,,,
390,06:00-09:00,Snatching by walk & escaping with bike,12.9659395021,77.5174293517,,,,,,,,,,,
391,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.9658357281,77.5029620515,,,,,,,,,,,
392,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.9654736111,77.5402204602,,,,,,,,,,,
393,12:00-15:00,Snatching by walk & escaping with bike,12.9649161467,77.524642113,,,,,,,,,,,
394,12:00-15:00,Snatching by walk & escaping with bike,12.9649161467,77.524642113,,,,,,,,,,,
395,18:00-21:00,Snatching by walk & escaping with bike,12.964068093,77.5207507094,,,,,,,,,,,
396,18:00-21:00,Snatching by walk & escaping with bike,12.964068093,77.5207507094,,,,,,,,,,,
397,09:00-12:00,Snatching by walk & escaping with bike,12.9627760305,77.5253508668,,,,,,,,,,,
398,15:00-18:00,Snatching by walk & escaping with bike,12.9626683101,77.5383359372,,,,,,,,,,,
399,15:00-18:00,Snatching by walk & escaping with bike,12.9626683101,77.5383359372,,,,,,,,,,,
400,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.961909968,77.5168781547,,,,,,,,,,,
401,18:00-21:00,Accused was on foot,12.960945403,77.576902847,,,,,,,,,,,
402,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.9607802815,77.5185847363,,,,,,,,,,,
403,06:00-09:00,Snatching by walk & escaping with bike,12.9606903037,77.5098552925,,,,,,,,,,,
404,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.9602223558,77.5116993315,,,,,,,,,,,
405,12:00-15:00,Snatching with threat of assault,12.9595061491,77.5249234262,,,,,,,,,,,
406,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.9594193232,77.5130432348,,,,,,,,,,,
407,12:00-15:00,Snatching by walk & escaping with bike,12.9591826424,77.5135881343,,,,,,,,,,,
408,09:00-12:00,Snatching by walk & escaping with bike,12.9590893641,77.5143323959,,,,,,,,,,,
409,12:00-15:00,Snatching by walk & escaping with bike,12.9589756248,77.5086595507,,,,,,,,,,,
410,12:00-15:00,Snatching by walk & escaping with bike,12.9589756248,77.5086595507,,,,,,,,,,,
411,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.9589756248,77.5086595507,,,,,,,,,,,
412,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.9589756248,77.5086595507,,,,,,,,,,,
413,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.9589756248,77.5086595507,,,,,,,,,,,
414,15:00-18:00,Snatching by walk & escaping with bike,12.9589319352,77.5102478199,,,,,,,,,,,
415,09:00-12:00,Accused was on foot,12.9584617077,77.4978049142,,,,,,,,,,,
416,12:00-15:00,Accused was on foot,12.9583,77.5838,,,,,,,,,,,
417,12:00-15:00,Snatching by walk & escaping with bike,12.9577260819,77.5160706447,,,,,,,,,,,
418,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.9575576268,77.5355344402,,,,,,,,,,,
419,09:00-12:00,Snatching by walk & escaping with bike,12.9573585341,77.5199639676,,,,,,,,,,,
420,09:00-12:00,Snatching by walk & escaping with bike,12.9573585341,77.5199639676,,,,,,,,,,,
421,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.9570684161,77.5203762532,,,,,,,,,,,
422,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.9569579713,77.5370919083,,,,,,,,,,,
423,18:00-21:00,Snatching while on the move (Accused on bike) from front,12.95666017,77.52078616,,,,,,,,,,,
424,18:00-21:00,Snatching while on the move (Accused on bike) from front,12.95666017,77.52078616,,,,,,,,,,,
425,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.9564863903,77.5346743085,,,,,,,,,,,
426,18:00-21:00,Accused was on foot,12.95605562,77.54593657,,,,,,,,,,,
427,15:00-18:00,Snatching by walk & escaping with bike,12.9552235669,77.5269759509,,,,,,,,,,,
428,09:00-12:00,Snatching by walk & escaping with bike,12.9546868765,77.5291475614,,,,,,,,,,,
429,12:00-15:00,Snatching by walk & escaping with bike,12.9546254661,77.4965372463,,,,,,,,,,,
430,06:00-09:00,Snatching by walk & escaping with bike,12.9545950983,77.4888839538,,,,,,,,,,,
431,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.9510537145,77.493710278,,,,,,,,,,,
432,18:00-21:00,Snatching by walk & escaping with bike,12.9438090793,77.5264263352,,,,,,,,,,,
433,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.9431029959,77.5436201127,,,,,,,,,,,
434,09:00-12:00,Snatching by walk & escaping with bike,12.9419847286,77.4917778266,,,,,,,,,,,
435,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.9377157492,77.4993602457,,,,,,,,,,,
436,06:00-09:00,Snatching by walk & escaping with bike,12.9372445705,77.5289275156,,,,,,,,,,,
437,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.9298166068,77.5114196803,,,,,,,,,,,
438,09:00-12:00,Snatching with assault,12.9280837006,77.4976672536,,,,,,,,,,,
439,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.9274840225,77.5196216153,,,,,,,,,,,
440,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.92505872,77.49385978,,,,,,,,,,,
441,06:00-09:00,Snatching by walk & escaping with bike,12.92505872,77.49385978,,,,,,,,,,,
442,18:00-21:00,Snatching with threat of assault,12.92505872,77.49385978,,,,,,,,,,,
443,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.9238600454,77.4849299886,,,,,,,,,,,
444,09:00-12:00,Snatching by walk & escaping with bike,12.92383326,77.48493176,,,,,,,,,,,
445,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.9228722798,77.5208286254,,,,,,,,,,,
446,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.9227761661,77.5081084952,,,,,,,,,,,
447,09:00-12:00,Snatching while on the move (Accused on bike) from front,12.9213514452,77.4833956944,,,,,,,,,,,
448,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.9207356496,77.4810141234,,,,,,,,,,,
449,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.9189793464,77.509030427,,,,,,,,,,,
450,12:00-15:00,Snatching by walk & escaping with bike,12.9187663195,77.4806177839,,,,,,,,,,,
451,18:00-21:00,Snatching while on the move (Accused on bike) from front,12.9181470213,77.4799490965,,,,,,,,,,,
452,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.914479008,77.4976356892,,,,,,,,,,,
453,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.91297098,77.52222057,,,,,,,,,,,
454,18:00-21:00,Snatching by walk & escaping with bike,12.9125302894,77.4790991441,,,,,,,,,,,
455,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.912047285,77.5183671542,,,,,,,,,,,
456,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.341613,77.580603,,,,,,,,,,,
457,15:00-18:00,snatching while on the move (Accused on bike) from front,12.95894379,77.61473943,,,,,,,,,,,
458,12:00-15:00,snatching while on the move (Accused on bike) from front,12.9621764,77.59914279,,,,,,,,,,,
459,21:00-00:00,Accused was on foot,12.97440148,77.59059841,,,,,,,,,,,
460,18:00-21:00,snatching while on the move (Accused on bike) from back,12.97115501,77.58281002,,,,,,,,,,,
461,09:00-12:00,Attention diversion by indulging in small talk,13.0318120467,77.5685437763,,,,,,,,,,,
462,06:00-09:00,Attention diversion by indulging in small talk,13.0335177295,77.5673410698,,,,,,,,,,,
463,18:00-21:00,Attention diversion by indulging in small talk,13.0385695306,77.5645931802,,,,,,,,,,,
464,15:00-18:00,Accused was on foot,12.98987,77.57673,,,,,,,,,,,
465,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.95759952,77.61493665,,,,,,,,,,,
466,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.95564552,77.62108991,,,,,,,,,,,
467,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.94923422,77.62536332,,,,,,,,,,,
468,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.93124319,77.61515802,,,,,,,,,,,
469,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.9429544,77.62707971,,,,,,,,,,,
470,18:00-21:00,Snatching while on the move (Accused on bike) from front,13.000324092,77.5771318922,,,,,,,,,,,
471,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.9994044988,77.5747980929,,,,,,,,,,,
472,15:00-18:00,Snatching while on the move (Accused on bike) from back,13.0047909905,77.5720686369,,,,,,,,,,,
473,12:00-15:00,Snatching while on the move (Accused on bike) from front,12.9554162,77.59363611,,,,,,,,,,,
474,06:00-09:00,Snatching while on the move (Accused on bike) from back,"12.571274
",77.393286,,,,,,,,,,,
475,15:00-18:00,Attention diversion by indulging in small talk,12.524529,77.372003,,,,,,,,,,,
476,15:00-18:00,Attention diversion by indulging in small talk,12.52498,77.382638,,,,,,,,,,,
477,12:00-15:00,By other techniques ,12.51129,77.395052,,,,,,,,,,,
478,15:00-18:00,Attention diversion by indulging in small talk,12.581869,77.414277,,,,,,,,,,,
479,06:00-09:00,Attention diversion by indulging in small talk,12.582768,77.41638,,,,,,,,,,,
480,21:00-00:00,Snatching while on the move (Accused on bike) from back,12.562757,77.414761,,,,,,,,,,,
481,09:00-12:00,Snatching while on the move (Accused on bike) from front,12.582473,77.4156,,,,,,,,,,,
482,18:00-21:00,Attention diversion by indulging in small talk,12.565464,77.422066,,,,,,,,,,,
483,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.927041,77.669356,,,,,,,,,,,
484,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.899331,77.646995,,,,,,,,,,,
485,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.904218,77.662161,,,,,,,,,,,
486,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.9054,77.649383,,,,,,,,,,,
487,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.917349,77.650065,,,,,,,,,,,
488,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.918978,77.65363,,,,,,,,,,,
489,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.918086,77.652498,,,,,,,,,,,
490,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.909913,77.64845,,,,,,,,,,,
491,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.909913,77.64845,,,,,,,,,,,
492,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.913351,77.646111,,,,,,,,,,,
493,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.904735,77.649697,,,,,,,,,,,
494,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.91027,77.653071,,,,,,,,,,,
495,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.91027,77.653071,,,,,,,,,,,
496,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.91027,77.653071,,,,,,,,,,,
497,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.54596,77.385878,,,,,,,,,,,
498,21:00-00:00,Snatching while on the move (Accused on bike) from back,12.917534,77.650457,,,,,,,,,,,
499,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.908056,77.649275,,,,,,,,,,,
500,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.913594,77.626883,,,,,,,,,,,
501,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.907279,77.695167,,,,,,,,,,,
502,18:00-21:00,Snatching by walk & escaping with bike,12.915836,77.643446,,,,,,,,,,,
503,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.531864,77.350848,,,,,,,,,,,
504,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.512567,77.34482,,,,,,,,,,,
505,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.53086,77.350114,,,,,,,,,,,
506,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.530111,77.350619,,,,,,,,,,,
507,12:00-15:00,Snatching while on the move (Accused on bike) from front,12.530267,77.352583,,,,,,,,,,,
508,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.504803,77.353933,,,,,,,,,,,
509,09:00-12:00,Snatching by walk & escaping with bike,12.531864,77.350848,,,,,,,,,,,
510,15:00-18:00,Snatching by walk & escaping with bike,12.512567,77.34482,,,,,,,,,,,
511,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.53086,77.350114,,,,,,,,,,,
512,15:00-18:00,Snatching by walk & escaping with bike,12.530111,77.350619,,,,,,,,,,,
513,12:00-15:00,Snatching by walk & escaping with bike,12.530267,77.352583,,,,,,,,,,,
514,16.04.2015,32,No,No,,,,,,,,,,,
515,12:00-15:00,Snatching while on the move (Accused on bike) from back,13.011006,77.452641,,,,,,,,,,,
516,21:00-00:00,Snatching while on the move (Accused on bike) from back,13.027844,77.7699844,,,,,,,,,,,
517,15:00-18:00,Snatching while on the move (Accused on bike) from back,13.0042709615,77.7569529996,,,,,,,,,,,
518,06:00-09:00,By other techniques ,12.581713,77.382431,,,,,,,,,,,
519,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.55317,77.375785,,,,,,,,,,,
520,15:00-18:00,By other techniques ,12.563297,77.365316,,,,,,,,,,,
521,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.552355,77.38639,,,,,,,,,,,
522,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.555412,77.374051,,,,,,,,,,,
523,21:00-00:00,Snatching while on the move (Accused on bike) from back,12.563021,77.372383,,,,,,,,,,,
524,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.56212,77.374016,,,,,,,,,,,
525,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.561623,77.37151,,,,,,,,,,,
526,21:00-00:00,Snatching while on the move (Accused on bike) from back,12.555937,77.374066,,,,,,,,,,,
527,09:00-12:00,Snatching while on the move (Accused on bike) from front,12.562929,77.37412,,,,,,,,,,,
528,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.552358,77.3827,,,,,,,,,,,
529,06:00-09:00,Snatching while on the move (Accused on bike) from front,12.56746,77.373493,,,,,,,,,,,
530,03:00-06:00,Snatching while on the move (Accused on bike) from front,12.553727,77.381811,,,,,,,,,,,
531,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.91171527,77.61472134,,,,,,,,,,,
532,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.91136384,77.63078204,,,,,,,,,,,
533,06:00-09:00,By other techniques ,12.9194196015,77.6328251788,,,,,,,,,,,
534,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.9114218411,77.625865369,,,,,,,,,,,
535,06:00-09:00,Accused was on foot,12.8958143894,77.6344940632,,,,,,,,,,,
536,18:00-21:00,Accused was on foot,12.9100422587,77.6147098841,,,,,,,,,,,
537,18:00-21:00,Attention diversion by indulging in small talk,12.8962444722,77.6366199115,,,,,,,,,,,
538,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.9079453618,77.6356393101,,,,,,,,,,,
539,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.9163311,77.63382466,,,,,,,,,,,
540,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.9182942008,77.6337606863,,,,,,,,,,,
541,00:00-03:00,Snatching while on the move (Accused on bike) from back,12.909404086,77.6305538728,,,,,,,,,,,
542,18:00-21:00,Snatching by walk & escaping with bike,12.9189296837,77.6201668861,,,,,,,,,,,
543,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.8935683597,77.6336267875,,,,,,,,,,,
544,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.9198814677,77.635301222,,,,,,,,,,,
545,12:00-15:00,Snatching by walk & escaping with bike,12.9174207807,77.6298479829,,,,,,,,,,,
546,06:00-09:00,Snatching while on the move (Accused on bike) from front,12.9112874966,77.6352277157,,,,,,,,,,,
547,18:00-21:00,Snatching while on the move (Accused on bike) from front,12.9146706005,77.6198452962,,,,,,,,,,,
548,06:00-09:00,Snatching by walk & escaping with bike,12.922037335,77.6346754959,,,,,,,,,,,
549,15:00-18:00,Snatching while on the move (Accused on bike) from front,12.9232918115,77.6381320592,,,,,,,,,,,
550,12:00-15:00,Snatching by walk & escaping with bike,12.9086259113,77.6359515534,,,,,,,,,,,
551,06:00-09:00,Snatching while on the move (Accused on bike) from front,12.9142821818,77.6313225915,,,,,,,,,,,
552,12:00-15:00,Snatching by walk & escaping with bike,12.9180141924,77.6301153461,,,,,,,,,,,
553,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.906535268,77.622848576,,,,,,,,,,,
554,06:00-09:00,Snatching by walk & escaping with bike,12.9304792198,77.6145678196,,,,,,,,,,,
555,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.8984257324,77.6209832247,,,,,,,,,,,
556,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.9260914913,77.6166725405,,,,,,,,,,,
557,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.9159029087,77.6010764895,,,,,,,,,,,
558,12:00-15:00,Snatching while on the move (Accused on bike) from back,12.9129903983,77.6044222081,-,-,,,,,,,,,
559,15:00-18:00,Snatching by walk & escaping with bike,12.915961438,77.6105668283,-,-,,,,,,,,,
560,12:00-15:00,Snatching while on the move (Accused on bike) from front,12.9144995146,77.6045048859,,,,,,,,,,,
